연번,시도,시군구,기관명,주소,신청유형,전화번호,운영가능일자,위도,경도
1,서울,강남구,연세대학교강남세브란스병원,서울특별시 강남구 언주로211,외래진료 및 입원,02-2019-2114,2020.02.28.,37.492736,127.0462661
2,서울,강남구,강남베드로병원,"서울특별시 강남구 남부순환로2633, 2649",외래진료,02-1544-7522,2020.02.26.,37.485325100000004,127.03774309999999
3,서울,강남구,나누리병원,서울특별시 강남구 언주로 731,외래진료,1688-9797,2020.03.05.,37.5202676,127.03396520000001
4,서울,강남구,하나이비인후과병원,서울특별시 강남구 역삼로245,외래진료,02-6925-1111,2020.02.25.,37.4978534,127.04296319999999
5,서울,강동구,중앙보훈병원,서울특별시 강동구 진황도로 61길 53,외래진료 및 입원,02-2225-1111,2020.02.28.,37.528777999999996,127.14760659999999
6,서울,강동구,강동성심병원,서울특별시 강동구 성안로 150,외래진료,1588-4100,2020.03.09.,37.5361,127.1353505
7,서울,강동구,강동경희대학교병원,서울특별시 강동구 동남로 892,외래진료 및 입원,02-440-8114,2020.02.27.,37.5528301,127.15719829999999
8,서울,강서구,이화여자대학교서울병원,서울특별시 강서구 공항대로260,외래진료 및 입원,1522-7000,2020.03.02.,37.5533338,126.85102939999999
9,서울,강서구,나누리병원,서울특별시 강서구 가로공원로 187,외래진료,1688-9797,2020.03.10.,37.5373118,126.83668689999998
10,서울,관악구,에이치플러스양지병원,서울특별시 관악구 남부순환로1636,외래진료 및 입원,02-1877-8875,2020.02.26.,37.484216599999996,126.9325109
11,서울,관악구,심정병원,서울특별시 관악구 남부순환로1485,외래진료,02-1588-3330,2020.02.26.,37.4824112,126.91571549999999
12,서울,광진구,건국대학교병원,서울특별시 광진구 능동로 120-1,외래진료 및 입원,02-1588-1533,2020.03.09.,37.5408245,127.07222089999999
13,서울,광진구,혜민병원,서울특별시 광진구 자양로 85,외래진료,02-2049-9000,2020.03.04.,37.53519,127.08338379999998
14,서울,구로구,고려대학교구로병원,서울특별시 구로구 구로동로 148,외래진료 및 입원,02-2626-1114,2020.03.02.,37.4922173,126.88494779999999
15,서울,구로구,우리아이들병원,서울특별시 구로구 새말로15,외래진료,02-858-0100,2020.02.25.,37.4876338,126.8827256
16,서울,금천구,희명병원,서울특별시 금천구 시흥대로 244,외래진료 및 입원,02-804-0002,2020.03.05.,37.4556417,126.90056659999998
17,서울,노원구,인제대학교 상계백병원,서울특별시 노원구 동일로1342,외래진료,02-950-1114,2020.02.27.,37.6486101,127.06307849999997
18,서울,노원구,노원을지대학교병원,서울특별시 노원구 한글비석로 68,외래진료,02-970-8000,2020.02.27.,37.6363293,127.0697068
19,서울,노원구,한국원자력의학원원자력병원,서울특별시 노원구 노원로 75,외래진료,02-970-2114,2020.03.04.,37.6294332,127.08264679999999
20,서울,도봉구,한일병원,서울특별시 도봉구 우이천로 308,외래진료 및 입원,02-901-3114,2020.03.04.,37.6458568,127.0285789
21,서울,동대문구,삼육서울병원,서울특별시 동대문구 망우로82,외래진료 및 입원,02-1577-3675,2020.02.25.,37.5892778,127.06454180000001
22,서울,동대문구,경희대학교병원,서울특별시 동대문구 경희대로23,외래진료 및 입원,02-958-8114,2020.02.25.,37.5953632,127.05276119999998
23,서울,동대문구,서울성심병원,서울특별시 동대문구 왕산로259,외래진료,02-966-1616,2020.02.25.,37.584392,127.0497209
24,서울,동작구,중앙대학교병원,서울특별시 동작구 흑석로102,외래진료 및 입원,02-6299-1114,2020.02.28.,37.5069754,126.96052309999999
25,서울,동작구,서울특별시보라매병원,서울특별시 동작구 보라매로 5길 20,외래진료,02-870-2114,2020.03.06.,37.4932234,126.9244612
26,서울,서대문구,연세대학교신촌세브란스병원,서울특별시 서대문구 연세로 50-1,외래진료 및 입원,02-1599-1004,2020.03.02.,37.564088999999996,126.93898089999999
27,서울,서대문구,동신병원,서울특별시 서대문구 연희로 272,외래진료,02-396-9161,2020.02.27.,37.581155900000006,126.93652650000001
28,서울,서초구,가톨릭대학교 서울성모병원,서울특별시 서초구 반포대로 222,외래진료 및 입원,02-1588-1511,2020.03.04.,37.5003974,127.00665989999999
29,서울,성동구,한양대학교병원,서울특별시 성동구 왕십리로222-1,외래진료 및 입원,02-2290-8114,2020.02.26.,37.5544649,127.04659710000001
30,서울,성북구,고려대학교안암병원,서울특별시 성북구 인촌로 73,외래진료 및 입원,02-920-5114,2020.02.28.,37.587012699999995,127.02688370000001
31,서울,성북구,성북우리아이들병원,서울특별시 성북구 동소문로46길10,외래진료,02-912-0100,2020.02.25.,37.608322300000005,127.0287626
32,서울,양천구,이화여자대학교목동병원,서울특별시 양천구 안양천로 1071,외래진료 및 입원,02-2650-5114,2020.03.02.,37.53637940000001,126.8864324
33,서울,양천구,홍익병원,서울특별시 양천구 목동로 225,외래진료,02-2693-5555,2020.03.09.,37.5284349,126.86361889999998
34,서울,양천구,메디힐병원,서울특별시 양천구 남부순환로 331,외래진료,02-2604-7551,2020.03.04.,37.537219799999995,126.8278378
35,서울,영등포구,가톨릭대학교 여의도성모병원,서울특별시 영등포구 63로 10,외래진료 및 입원,1661-7575,2020.03.09.,37.5179713,126.936089
36,서울,영등포구,한림대학교 강남성심병원,서울특별시 영등포구 신길로1,외래진료 및 입원,02-829-5114,2020.02.25.,37.4928431,126.90863050000002
37,서울,영등포구,성애병원,서울특별시 영등포구 여의대방로53길 22,외래진료,1811-8114,2020.03.04.,37.5120291,126.92238270000001
38,서울,영등포구,명지성모병원,서울특별시 영등포구 도림로 156,외래진료,1899-1475,2020.03.06.,37.4938274,126.8992573
39,서울,영등포구,영등포병원,서울특별시 영등포구 당산로3길10,외래진료,02-2632-0013~8,2020.02.25.,37.526371499999996,126.89622829999999
40,서울,영등포구,새길병원,서울특별시 영등포구 영중로 59,외래진료,02-1522-0075,2020.03.11.,37.521639799999996,126.90467819999999
41,서울,용산구,순천향대학교부속서울병원,서울특별시 용산구 대사관로 59,외래진료 및 입원,02-709-9114,2020.02.28.,37.5339355,127.00433360000001
42,서울,은평구,청구성심병원,서울특별시 은평구 통일로 873,외래진료,02-353-5511~9,2020.02.27.,37.62073240000001,126.91944489999999
43,서울,은평구,본서부병원,서울특별시 은평구 은평로 133,외래진료,02-3156-5000,2020.03.10.,37.600696,126.92256819999999
44,서울,종로구,서울대학교병원,서울특별시 종로구 대학로101,외래진료 및 입원,02-1588-5700,2020.02.27.,37.577595599999995,126.99988630000001
45,서울,종로구,강북삼성병원,서울특별시 종로구 새문안로29,외래진료 및 입원,02-2001-2001,2020.03.16.,37.568358499999995,126.9674846
46,서울,종로구,서울적십자병원,서울특별시 종로구 새문안로 9,외래진료,02-2002-8000,2020.03.02.,37.5671402,126.96705659999999
47,서울,종로구,세란병원,서울특별시 종로구 통일로 256,외래진료,02-737-0181,2020.03.03.,37.5751936,126.9575253
48,서울,중구,인제대학교 서울백병원,서울특별시 중구 마른내로9,외래진료,02-2270-0114,2020.02.26.,37.5649096,126.98875249999998
49,서울,중구,국립중앙의료원,서울특별시 중구 을지로 245,외래진료 및 입원,02-2260-7114,2020.02.29.,37.5674232,127.0059029
50,서울,중랑구,동부제일병원,서울특별시 중랑구 망우로511,외래진료,02-437-5011,2020.03.02.,37.6007761,127.1092825
51,서울,중랑구,녹색병원,서울특별시 중랑구 사가정로 49길 53,외래진료,02-490-2000,2020.03.02.,37.583500199999996,127.08615110000001
52,부산,금정구,새우리남산병원,부산광역시 금정구 중앙대로 2025,외래진료,051-516-9999,2020.03.11.,35.265251299999996,129.0921053
53,부산,금정구,세웅병원,부산광역시 금정구 서동로 162,외래진료 및 입원,051-500-9700,2020.02.28.,35.214399,129.1040842
54,부산,기장군,동남권원자력의학원,부산광역시 기장군 장안읍 좌동길40,외래진료,051-720-5114,2020.03.03.,35.321483199999996,129.24361299999998
55,부산,기장군,기장병원,부산광역시 기장군 기장읍 대청로72번길 6,외래진료,051-723-0171,2020.03.03.,35.2358805,129.216446
56,부산,남구,부산성모병원,부산광역시 남구 용호로 232번길 25-14,외래진료,051-933-7114,2020.03.02.,35.110167,129.10920000000002
57,부산,동구,일신기독병원,부산광역시 동구 정공단로 27,외래진료,051-630-0300,2020.03.03.,35.1355141,129.0540545
58,부산,동구,김원묵기념봉생병원,부산광역시 동구 중앙대로 401,외래진료,051-664-4000,2020.03.03.,35.1309523,129.0503957
59,부산,동구,좋은문화병원,부산광역시 동구 범일로119,외래진료,051-644-2002,2020.02.25.,35.1407228,129.058962
60,부산,동래구,대동병원,부산광역시 동래구 충렬대로 187,외래진료 및 입원,051-554-1233,2020.02.25.,35.204521299999996,129.0802502
61,부산,동래구,광혜병원,부산광역시 동래구 충렬대로 96,외래진료,051-503-2111,2020.02.28.,35.206832,129.0710667
62,부산,동래구,동래봉생병원,부산광역시 동래구 안연로 109번길 27,외래진료,051-520-5500,2020.03.04.,35.196908199999996,129.09610809999998
63,부산,동래구,부산우리들병원,부산광역시 동래구 중앙대로 1523,외래진료,051-559-2000,2020.03.09.,35.2212587,129.0856203
64,부산,북구,부민병원,부산광역시 북구 만덕대로59,외래진료,051-330-3000,2020.02.25.,35.2119687,129.01123909999998
65,부산,북구,구포성심병원,부산광역시 북구 낙동대로1786,외래진료,051-333-2001,2020.03.02.,35.2095944,129.0045343
66,부산,북구,화명일신기독병원,부산광역시 북구 금곡대로 264,외래진료,051-363-0387,2020.02.25.,35.2318906,129.0136669
67,부산,사상구,좋은삼선병원,부산광역시 사상구 가야대로326,외래진료,051-322-0900,2020.02.25.,35.15014790000001,129.0077859
68,부산,사상구,서부산센텀병원,부산광역시 사상구 새벽로 226,외래진료,1644-5530 ,2020.03.11.,35.1612052,128.9845559
69,부산,사하구,우리원병원,부산광역시 사하구 다대로 565 ,외래진료,051-260-1000,2020.03.16.,35.0558972,128.9709128
70,부산,서구,부산대학교병원,부산광역시 서구 구덕로 179,외래진료 및 입원,051-240-7000,2020.02.27.,35.100814,129.01872889999999
71,부산,서구,삼육부산병원,부산광역시 서구 대티로170,외래진료,051-242-9751,2020.02.26.,35.112519,129.01126929999998
72,부산,서구,동아대학교병원,부산광역시 서구 대신공원로 26,외래진료 및 입원,051-240-2000,2020.03.09.,35.120294,129.0179994
73,부산,수영구,BHS한서병원,부산광역시 수영구 수영로 615,외래진료,051-756-0081,2020.02.28.,35.1608916,129.11313049999998
74,부산,수영구,좋은강안병원,부산광역시 수영구 수영로493,외래진료,051-625-0900,2020.02.26.,35.149963899999996,129.1104981
75,부산,수영구,부산센텀병원,부산광역시 수영구 수영로 677,외래진료,051-750-5000,2020.03.03.,35.166261299999995,129.1145747
76,부산,연제구,한양류마디병원,부산광역시 연제구 과정로272(연산동),외래진료,051-752-1990,2020.02.25.,35.1882335,129.0975551
77,부산,영도구,해동병원,부산광역시 영도구 태종로133,외래진료,051-412-6161,2020.02.26.,35.0919367,129.0438842
78,부산,영도구,영도병원,부산광역시 영도구 태종로85,외래진료,051-412-8881,2020.02.25.,35.0922458,129.0405355
79,부산,영도구,에스병원,부산광역시 영도구 동삼로 55-1,외래진료,051-412-7000,2020.02.29.,35.07840230000001,129.07025059999998
80,부산,진구,온종합병원,부산광역시 진구 가야대로 721,외래진료,051-607-0114,2020.03.07.,35.1578057,129.0499681
81,부산,진구,오성병원,부산광역시 진구 중앙대로 910,외래진료,051-850-0800,2020.02.28.,35.171324999999996,129.0704317
82,부산,해운대구,인제대학교 해운대백병원,부산광역시 해운대구 해운대로 875,외래진료 및 입원,051-797-2665,2020.03.02.,35.1733441,129.1822042
83,부산,해운대구,해운대부민병원,부산광역시 해운대구 해운대로584,외래진료 및 입원,051-602-8000,2020.02.25.,35.161368599999996,129.1558441
84,부산,해운대구,효성시티병원,부산광역시 해운대구 해운대로 135,외래진료,051-709-3000,2020.03.03.,35.1852051,129.12146479999998
85,인천,강화군,비에스종합병원,인천광역시 강화군 강화읍 충렬사로 31,외래진료 및 입원,032-290-0001,2020.03.02.,37.731124699999995,126.47816019999999
86,인천,계양구,한림병원,인천광역시 계양구 장제로722,외래진료 및 입원,032-540-9114,2020.02.28.,37.5321972,126.73433049999998
87,인천,계양구,메디플렉스 세종병원,인천광역시 계양구 계양문화로20,외래진료 및 입원,032-240-8000,2020.02.25.,37.532404799999995,126.7367467
88,인천,계양구,더드림병원,인천광역시 계양구 계양대로 123,외래진료,032-282-7575,2020.03.02.,37.5349575,126.72224069999999
89,인천,남동구,길병원,인천광역시 남동구 남동대로 774번길 21,외래진료 및 입원,032-460-3114,2020.02.27.,37.451834700000006,126.70926310000002
90,인천,동구,인천백병원,인천광역시 동구 샛골로 214,외래진료,032-765-7070,2020.02.27.,37.476534199999996,126.644187
91,인천,미추홀구,인천사랑병원,인천광역시 미추홀구 미추홀대로 726,외래진료,032-457-2000,2020.02.28.,37.4620945,126.68076819999999
92,인천,미추홀구,현대유비스병원,인천광역시 미추홀구 독배로503,외래진료,032-888-7575,2020.02.29.,37.4614899,126.6429794
93,인천,미추홀구,나누리병원,인천광역시 미추홀구 인주대로 485,외래진료,1688-9797,2020.03.05.,37.4545052,126.6653838
94,인천,미추홀구,성모윌병원,인천광역시 미추홀구 경인로 488,외래진료,032-421-0075,2020.03.09.,37.459335599999996,126.6939181
95,인천,부평구,가톨릭대학교 인천성모병원,인천광역시 부평구 동수로 56,외래진료 및 입원,032-1544-9004,2020.03.02.,37.484407399999995,126.7249147
96,인천,부평구,부평세림병원,인천광역시 부평구 부평대로 175,외래진료,032-524-0591,2020.02.27.,37.5067625,126.72005569999997
97,인천,부평구,한길안과병원,인천광역시 부평구 부평대로 35,외래진료,032-503-3322,2020.03.10.,37.4945466,126.7223234
98,인천,부평구,나누리병원,인천광역시 부평구 장제로 156,외래진료,1688-9797,2020.03.10.,37.4991219,126.73327590000001
99,인천,서구,뉴성민병원,인천광역시 서구 신석로 70,외래진료,032-726-1000,2020.02.29.,37.5091475,126.66969569999998
100,인천,서구,나은병원,인천광역시 서구 원적로23,외래진료 및 입원,032-584-0114,2020.02.26.,37.4890123,126.67977929999999
101,인천,서구,검단탑병원,인천광역시 서구 청마로19번길5,외래진료 및 입원,032-590-0114,2020.02.25.,37.592526299999996,126.67094480000002
102,인천,서구,온누리병원,인천광역시 서구 완정로 119,외래진료,032-567-6200,2020.03.03.,37.598588299999996,126.66417150000001
103,인천,서구,가톨릭관동대학교 국제성모병원,인천광역시 서구  심곡로100번길 25,외래진료 및 입원,1600-8291 ,2020.03.11.,37.5424593,126.68382049999998
104,인천,연수구,나사렛국제병원,인천광역시 연수구 먼우금로 98,외래진료 및 입원,032-899-9999,2020.02.27.,37.4078996,126.67049619999997
105,인천,연수구,인천적십자병원,인천광역시 연수구 원인재로263,외래진료,032-899-4000,2020.02.26.,37.418596,126.68883740000001
106,인천,중구,인천기독병원,인천광역시 중구 답동로30번길10,외래진료,032-270-8000,2020.02.26.,37.4712731,126.632106
107,인천,중구,인하대학교병원,인천광역시 중구 인항로 27,외래진료 및 입원,032-890-2114,2020.03.02.,37.458619,126.63403760000001
108,대구,남구,영남대학교병원,대구광역시 남구 현충로 170,외래진료,053-623-8001,2020.03.02.,35.8469571,128.5827831
109,대구,남구,드림병원,대구광역시 남구 대명로 153,외래진료,053-640-8800,2020.03.02.,35.8396305,128.57449499999998
110,대구,달서구,구병원,대구광역시 달서구 감삼북길 141,외래진료,053-560-9114,2020.03.02.,35.8506505,128.5413994
111,대구,달서구,삼일병원,대구광역시 달서구 월배로 446,외래진료,053-659-3100,2020.03.03.,35.832946899999996,128.55440629999998
112,대구,달서구,대구보광병원,대구광역시 달서구 구마로 128,외래진료,053-651-3232,2020.03.02.,35.836759799999996,128.5416946
113,대구,달서구,참조은병원,대구광역시 달서구 월배로 404,외래진료,053-630-8000 ,2020.03.11.,35.8303009,128.5516098
114,대구,달서구,세강병원,대구광역시 달서구 구마로 220,외래진료,053-620-6248,2020.03.09.,35.8366663,128.55173689999998
115,대구,동구,대구파티마병원,대구광역시 동구 아양로99,외래진료 및 입원,053-1688-7770,2020.02.27.,35.8840357,128.6238479
116,대구,북구,대구가톨릭대학교칠곡가톨릭병원,대구광역시 북구 칠곡중앙대로440,외래진료,053-320-2500,2020.02.29.,35.9349066,128.54929669999999
117,대구,북구,대구시티병원,대구광역시 북구 동북로 270,외래진료,053-959-7114,2020.03.04.,35.8934918,128.61958220000002
118,대구,서구,서대구병원,대구광역시 서구 국채보상로 200,외래진료,053-558-5800,2020.03.11.,35.869653299999996,128.5530174
119,대구,수성구,천주성삼병원,대구광역시 수성구 달구벌대로 3190,외래진료,053-790-1000,2020.03.02.,35.840264499999996,128.7057506
120,대구,중구,경북대학교병원,대구광역시 중구 동덕로 130,외래진료,053-420-5114,2020.02.28.,35.865942,128.60513559999998
121,대구,중구,곽병원,대구광역시 중구 국채보상로 531,외래진료,053-252-2401,2020.03.12.,35.8707148,128.5887352
122,대구,중구,광개토병원,대구광역시 중구 중앙대로 366,외래진료,053-565-1190,2020.03.02.,35.8659896,128.5937806
123,대구,중구,푸른병원,대구광역시 중구 태평로 102,외래진료,053-471-2800,2020.03.04.,35.8757559,128.5929742
124,광주,광산구,첨단종합병원,광주광역시 광산구 첨단중앙로 170번길 59,외래진료,062-601-8114,2020.03.07.,35.2209175,126.84517299999999
125,광주,광산구,KS병원,광주광역시 광산구 왕버들로 220,외래진료,062-975-9000,2020.03.10.,35.1978963,126.8332013
126,광주,남구,광주기독병원,광주광역시 남구 양림로 37,외래진료 및 입원,062-650-5000,2020.03.05.,35.1366727,126.91212199999998
127,광주,동구,전남대학교병원,광주광역시 동구 제봉로42,외래진료 및 입원,1899-0000,2020.03.09.,35.1416819,126.9220315
128,광주,서구,서광병원,광주광역시 서구 금화로 59번길6,외래진료,062-600-8000,2020.03.04.,35.1326041,126.85548990000001
129,대전, 유성구,유성선병원,대전광역시  유성구 북유성대로93,외래진료,042-1588-7011,2020.02.25.,36.37518,127.32480249999999
130,대전,동구,대전한국병원,대전광역시 동구 동서대로1672,외래진료,042-606-1000,2020.02.26.,36.3481517,127.43582869999999
131,대전,서구,대전을지대학교병원,대전광역시 서구 둔산서로95,외래진료 및 입원,042-259-1000,2020.02.26.,36.355326999999996,127.38200819999999
132,대전,서구,건양대학교병원,대전광역시 서구 가수원동 관저동로 158,외래진료 및 입원,1577-3330,2020.03.06.,36.2992196,127.34031949999999
133,대전,중구,가톨릭대학교 대전성모병원,대전광역시 중구 대흥로64,외래진료 및 입원,042-220-9114,2020.02.26.,36.3219153,127.42036339999999
134,대전,중구,대전선병원,대전광역시 중구 목중로29,외래진료 및 입원,042-220-8114,2020.02.26.,36.336001599999996,127.41018039999997
135,울산,남구,울산병원,울산광역시 남구 월평로171번길 13,외래진료,052-259-5000,2020.02.27.,35.546209,129.32307839999999
136,울산,남구,좋은삼정병원,울산광역시 남구 북부순환도로 51,외래진료,052-220-7500,2020.03.05.,35.5528284,129.26905879999998
137,울산,남구,중앙병원,울산광역시 남구 문수로 480번길 10,외래진료,052-226-1100,2020.03.02.,35.531523299999996,129.3052032
138,울산,남구,울산보람병원,울산광역시 남구 돋질로336번길 10,외래진료,052-278-0114,2020.03.05.,35.542374699999996,129.34104109999998
139,울산,동구,울산대학교병원,울산광역시 동구 방어진순환도로877,외래진료 및 입원,052-250-7000,2020.02.25.,35.5111519,129.4234794
140,울산,북구,울산시티병원,울산광역시 북구 산업로1007,외래진료,052-280-9000,2020.02.26.,35.582894,129.3588552
141,울산,북구,21세기좋은병원,울산광역시 북구 호계로 285,외래진료,052-290-2100,2020.02.29.,35.6288954,129.3506373
142,울산,울주군,서울산보람병원,울산광역시 울주군 삼남면 중평로 53,외래진료,052-255-7114,2020.02.27.,35.5596168,129.1205746
143,울산,중구,동강병원,울산광역시 중구 태화로 239,외래진료,052-241-1114,2020.03.04.,35.553663,129.3020349
144,경기,고양시 덕양구,명지병원,경기도 고양시 덕양구 화수로 14번길 55,외래진료 및 입원,031-810-5114,2020.02.25.,37.6420879,126.83093500000001
145,경기,고양시 덕양구,자인메디병원,경기도 고양시 덕양구 덕양구 중앙로555,외래진료,031-930-3114,2020.02.25.,37.6230404,126.83548929999999
146,경기,고양시 일산동구,국민건강보험공단 일산병원,경기도 고양시 일산동구 일산로100,외래진료 및 입원,031-900-0114,2020.02.26.,37.6454297,126.7929091
147,경기,고양시 일산동구,국립암센터,경기도 고양시 일산동구 일산로323,외래진료,031-920-0001,2020.02.26.,37.663835399999996,126.7829114
148,경기,고양시 일산동구,동국대학교 일산불교병원,경기도 고양시 일산동구 동국로27,외래진료 및 입원,031-961-7000,2020.02.26.,37.6763007,126.8067038
149,경기,고양시 일산동구,일산복음의료재단,경기도 고양시 일산동구 고양대로 760,외래진료,031-977-5000,2020.02.29.,37.681719799999996,126.7799777
150,경기,고양시 일산서구,인제대학교 일산백병원,경기도 고양시 일산서구 주화로170,외래진료 및 입원,031-910-7511,2020.02.25.,37.6742288,126.75036700000001
151,경기,광명시,광명성애병원,경기도 광명시 디지털로 36,외래진료,02-2680-7114,2020.03.06.,37.4732445,126.8718849
152,경기,광주시,참조은병원,경기도 광주시 광주대로45,외래진료,031-767-7575,2020.02.28.,37.410903399999995,127.26022999999999
153,경기,구리시,한양대학교구리병원,경기도 구리시 경춘로153,외래진료 및 입원,031-560-2114,2020.02.25.,37.6011613,127.13231950000001
154,경기,군포시,원광대학교의과대학산본병원,경기도 군포시 산본로 321,외래진료,031-390-2300,2020.03.09.,37.359376399999995,126.9335943
155,경기,군포시,지샘병원,경기도 군포시 군포로 591,외래진료,031-389-3000,2020.03.02.,37.3586521,126.94729590000001
156,경기,김포시,김포우리병원,경기도 김포시 감암로11,외래진료 및 입원,031-999-1000,2020.02.25.,37.6323493,126.71077049999998
