연번,시도,시군구,기관명,주소,신청유형,전화번호,운영가능일자,위도,경도
157,경기,김포시,뉴고려병원,경기도 김포시 김포한강3로283,외래진료 및 입원,031-980-9114,2020.02.26.,37.6409053,126.66023940000001
158,경기,김포시,히즈메디병원,경기도 김포시 김포대로 681,외래진료,1588-0223,2020.03.05.,37.611179799999995,126.73496379999999
159,경기,남양주시,남양주한양병원,경기도 남양주시 오남읍 양지로47-55,외래진료,031-510-0114,2020.02.26.,37.6823506,127.20421999999999
160,경기,남양주시,중앙대의료원교육협력현대병원,경기도 남양주시 진접읍 봉현로21,외래진료 및 입원,031-574-9119,2020.02.25.,37.7155114,127.17965299999997
161,경기,남양주시,베리굿병원,경기도 남양주시 별내5로5번길5,외래진료,031-567-8585,2020.03.09.,37.6637601,127.10783789999998
162,경기,부천시,세종병원,경기도 부천시 호현로489번길 28,외래진료 및 입원,1599-6677,2020.02.25.,37.4811218,126.791382
163,경기,부천시,가톨릭대학교 부천성모병원,경기도 부천시 소사로327,외래진료 및 입원,032-1577-0675,2020.02.26.,37.48612380000001,126.7924958
164,경기,부천시,순천향대학교부속부천병원,경기도 부천시 조마루로170,외래진료 및 입원,032-621-5114,2020.02.26.,37.4978251,126.76274439999997
165,경기,부천시,다니엘종합병원,경기도 부천시 중동로 361,외래진료,032-670-0001,2020.02.29.,37.512245199999995,126.76947740000001
166,경기,부천시,예손병원,경기도 부천시 부천로 206,외래진료,1666-7582,2020.03.05.,37.5024637,126.78717460000001
167,경기,부천시,부천우리병원,경기도 부천시 원종동 277-14,외래진료,032-672-4100,2020.03.03.,37.5243469,126.80519719999998
168,경기,성남시 분당구,분당제생병원,경기도 성남시 분당구 서현로 108번길 20,외래진료 및 입원,031-779-0114,2020.03.02.,37.3881528,127.12174719999999
169,경기,성남시 분당구,분당서울대학교병원,경기도 성남시 분당구 구미로 173번길 82,외래진료 및 입원,031-1588-3369,2020.03.01.,37.350403299999996,127.1244617
170,경기,성남시 분당구,바른세상병원,경기도 성남시 분당구 야탑로 75번길 5,외래진료,1577-3175,2020.03.02.,37.4102726,127.1268085
171,경기,성남시 분당구,서울나우병원,경기도 성남시 분당구 분당로 43,외래진료,031-788-5600,2020.03.02.,37.384038,127.1202529
172,경기,성남시 수정구,정병원,경기도 성남시 수정구 수정로 76,외래진료 및 입원,031-750-6000,2020.02.28.,37.4398303,127.1290044
173,경기,성남시 수정구,지우병원,경기도 성남시 수정구 수정로 183,외래진료,1544-6686,2020.03.05.,37.4436876,127.14017719999998
174,경기,성남시 중원구,바른마디병원,경기도 성남시 중원구  광명로 330,외래진료,031-735-9110,2020.02.26.,37.4452224,127.1625612
175,경기,수원시 영통구,아주대학교병원,경기도 수원시 영통구 월드컵로 164,외래진료 및 입원,031-1688-6114,2020.02.27.,37.2795318,127.0477406
176,경기,수원시 영통구,나누리수원병원,경기도 수원시 영통구 중부대로 295,외래진료,1688-9797,2020.03.10.,37.2737324,127.0481868
177,경기,수원시 팔달구,가톨릭대학교 성빈센트병원,경기도 수원시 팔달구 중부대로 93,외래진료 및 입원,1577-8588,2020.03.09.,37.278437499999995,127.0278484
178,경기,수원시 팔달구,동수원병원,경기도 수원시 팔달구 중부대로 165,외래진료,031-210-0114,2020.03.02.,37.278441,127.0343254
179,경기,수원시 팔달구,이춘택병원,경기도 수원시 팔달구 팔달구 매산로138,외래진료,1588-2927,2020.02.25.,37.2717921,127.01575199999998
180,경기,수원시 팔달구,윌스기념병원,경기도 수원시 팔달구 경수대로 437,외래진료,031-223-2233,2020.03.03.,37.2651153,127.02547729999998
181,경기,시흥시,신천연합병원,경기도 시흥시 복지로 57,외래진료,031-310-6300,2020.02.28.,37.444552099999996,126.78951599999999
182,경기,시흥시,센트럴병원,경기도 시흥시 공단1대로237,외래진료,031-8041-3854,2020.02.27.,37.3367245,126.72816710000001
183,경기,시흥시,시화병원,경기도 시흥시 옥구천서로337,외래진료,031-432-2600,2020.02.26.,37.3528958,126.7245906
184,경기,안산시,근로복지공단안산병원,경기도 안산시 구룡로 87,외래진료,031-500-1114,2020.03.05.,37.3166128,126.8743722
185,경기,안산시 단원구,고려대학교안산병원,경기도 안산시 단원구 적금로 123,외래진료 및 입원,031-412-5114,2020.03.05.,37.319133300000004,126.8252651
186,경기,안산시 단원구,단원병원,경기도 안산시 단원구 원포공원1로 20,외래진료,031-8040-6600,2020.03.02.,37.300334299999996,126.81323149999999
187,경기,안산시 단원구,온누리병원,경기도 안산시 단원구 선부로 201,외래진료,031-412-2200,2020.03.09.,37.3418275,126.8174982
188,경기,안산시 상록구,사랑의병원,경기도 안산시 상록구 예술광장로 69,외래진료,031-439-3000,2020.03.02.,37.326979099999996,126.84477930000001
189,경기,안성시,안성성모병원,경기도 안성시 시장길58,외래진료,031-675-6007,2020.02.26.,37.006217899999996,127.27103289999998
190,경기,안양시 동안구,한림대학교성심병원,경기도 안양시 동안구 관평로170번길 22,외래진료 및 입원,031-380-1500,2020.03.02.,37.391430799999995,126.96175369999999
191,경기,안양시 동안구,안양윌스기념병원,경기도 안양시 동안구 경수대로 560,외래진료,031-460-1114,2020.03.06.,37.3727592,126.95818589999999
192,경기,여주시,연세새로운병원,경기도 여주시 영릉로 22,외래진료,031-885-7582,2020.03.04.,37.2898476,127.63291579999998
193,경기,여주시,세종여주병원,경기도 여주시 청심로 39,외래진료 및 입원,031-880-7700,2020.03.09.,37.3014144,127.6251858
194,경기,오산시,오산한국병원,경기도 오산시 밀머리로 1번길 16,외래진료,1566-3534,2020.02.27.,37.141348799999996,127.07559029999999
195,경기,오산시,조은오산병원,경기도 오산시 오산로 307,외래진료,1544-5355,2020.03.06.,37.1542863,127.06839330000001
196,경기,용인시 기흥구,연세대학교 용인세브란스병원,경기도 용인시 기흥구 동백죽전대로 363,외래진료,1899-1004,2020.03.03.,37.272137099999995,127.1521978
197,경기,용인시 기흥구,강남병원,경기도 용인시 기흥구 중부대로411,외래진료 및 입원,031-300-0114,2020.02.25.,37.2735367,127.1113393
198,경기,용인시 처인구,다보스병원,경기도 용인시 처인구 처인구백옥대로1082번길 18,외래진료,031-8021-2114,2020.02.25.,37.2314675,127.21136659999999
199,경기,의정부시,가톨릭대학교 의정부성모병원,경기도 의정부시 천보로 271,외래진료 및 입원,031-1661-7500,2020.03.03.,37.7583561,127.07744590000001
200,경기,의정부시,의정부백병원,경기도 의정부시 금신로 322,외래진료,031-856-8111,2020.03.05.,37.7452366,127.0620467
201,경기,의정부시,성베드로병원,경기도 의정부시 평화로622,외래진료,031-840-1700,2020.02.28.,37.7474524,127.04579919999999
202,경기,이천시,경기도의료원 이천병원,경기도 이천시 경충대로 2742 번길,외래진료 및 입원,031-630-4200,2020.03.06.,37.282593399999996,127.4328154
203,경기,이천시,이천엘리야병원,경기도 이천시 장호원읍 서동대로 8793,외래진료,1800-4275,2020.02.28.,37.1155465,127.61217110000001
204,경기,파주시,메디인병원,경기도 파주시 시청로6,외래진료,031-1566-1991,2020.02.26.,37.7580017,126.774838
205,경기,평택시,박애병원,경기도 평택시 평택2로20번길3,외래진료 및 입원,031-652-2121,2020.02.26.,36.9930038,127.08906549999999
206,경기,평택시,평택굿모닝병원,경기도 평택시 중앙로338,외래진료 및 입원,031-659-7700,2020.02.27.,36.9906469,127.1205614
207,경기,평택시,평택성모병원,경기도 평택시 평택로284,외래진료 및 입원,031-1800-8800,2020.02.26.,36.99944130000001,127.07955229999999
208,경기,평택시,박병원,경기도 평택시 송탄로 33,외래진료 및 입원,031-666-2600,2020.03.04.,37.0482193,127.05700110000001
209,경기,포천시,포천우리병원,경기도 포천시  소홀읍 호국로 661,외래진료,031-542-0222,2020.02.26.,37.8273748,127.14795699999999
210,경기,하남시,하남SD병원,경기도 하남시 덕풍공원로 41,외래진료,031-793-2882,2020.03.02.,37.5396283,127.1982811
211,경기,화성시,화성중앙종합병원,경기도 화성시 향남읍 발안로5,외래진료 및 입원,031-352-8114,2020.02.28.,37.1313154,126.9107719
212,경기,화성시,한림대학교 동탄성심병원,경기도 화성시 큰재봉길7,외래진료 및 입원,031-8086-3000,2020.02.26.,37.2166637,127.08012090000001
213,경기,화성시,원광종합병원,경기도 화성시 화산북로21,외래진료,031-8077-7200,2020.02.26.,37.206496,127.01003209999999
214,경기,화성시,남양디에스병원,경기도 화성시 남양읍 시청로 160번길 46-13,외래진료 및 입원,1600-5982,2020.02.25.,37.1964083,126.83264189999998
215,강원,강릉시,강릉고려병원,강원도 강릉시 옥가로 30,외래진료,033-649-0100,2020.03.10.,37.7590037,128.89986
216,강원,강릉시,강릉아산병원,강원도 강릉시 사천면 방동길 38,외래진료 및 입원,033-610-3114,2020.03.12.,37.8182428,128.85927189999998
217,강원,동해시,근로복지공단 동해병원,강원도 동해시 하평로 11,외래진료,033-530-3100,2020.03.09.,37.5313691,129.1077852
218,강원,속초시,속초보광병원,강원도 속초시 중앙로 11,외래진료,033-639-8500,2020.02.28.,38.1979798,128.5783566
219,강원,춘천시,한림대학교춘천성심병원,강원도 춘천시 삭주로77,외래진료,033-240-5000,2020.02.28.,37.8839706,127.7398959
220,강원,춘천시,강원대학교병원,강원도 춘천시 백령로156,외래진료 및 입원,033-258-2000,2020.02.25.,37.8753509,127.7450198
221,강원,홍천군,홍천아산병원,강원도 홍천군 홍천읍 산림공원1길 17,외래진료,033-430-5151,2020.03.06.,37.6906658,127.8946511
222,충북,제천시,제천서울병원,충청북도 제천시 숭문로57,외래진료,043-642-7606,2020.02.28.,37.1386904,128.2062186
223,충북,제천시,제천명지병원,충청북도 제천시 내토로 991,외래진료,043-640-8114,2020.03.02.,37.1633515,128.2339864
224,충북,진천군,진천성모병원,충청북도 진천군 진천읍 중앙북로24,외래진료,043-533-1711,2020.02.28.,36.8587463,127.4396491
225,충북,청주시 상당구,한국병원,충청북도 청주시 상당구 단재로106,외래진료,043-222-7000,2020.02.25.,36.6196583,127.49632209999999
226,충북,청주시 상당구,효성병원,충청북도 청주시 상당구 쇠내로 16,외래진료,043-221-5000,2020.03.02.,36.6244467,127.49552849999999
227,충북,청주시 청원구,청주성모병원,충청북도 청주시 청원구 주성구 173-19,외래진료,043-219-8000,2020.03.09.,36.642434099999996,127.4890319
228,충북,청주시 흥덕구,하나병원,충청북도 청주시 흥덕구 2순환로 1262(가경동),외래진료,043-230-6114,2020.02.28.,36.6281257,127.43571469999999
229,충북,청주시 흥덕구,베스티안병원,충청북도 청주시 흥덕구 오송읍 오송생명1로 191,외래진료,043-910-7575,2020.02.29.,36.6350133,127.3233232
230,충북,충주시,건국대학교 충주병원,충청북도 충주시 국원대로 82,외래진료,02-1588-1533,2020.02.27.,36.9789554,127.92888459999999
231,충남,논산시,백제병원,충청남도 논산시 시민로294번길14,외래진료,041-730-8888,2020.02.25.,36.1923478,127.09438949999999
232,충남,당진시,당진종합병원,충청남도 당진시 반촌로 5-15,외래진료,041-357-0100,2020.02.27.,36.9044154,126.6847755
233,충남,서산시,서산중앙병원,충청남도 서산시 수석산업로5,외래진료,041-661-1000,2020.02.26.,36.7811126,126.50352609999999
234,충남,아산시,아산충무병원,충청남도 아산시 문화로 381(모종동),외래진료 및 입원,041-536-6666,2020.02.27.,36.779140399999996,127.01955679999999
235,충남,아산시,현대병원,충청남도 아산시 시민로 388,외래진료,041-546-3636,2020.03.04.,36.7830692,127.00102389999999
236,충남,예산군,예산종합병원,충청남도 예산군 예산읍 금오대로 94,외래진료,041-330-4000,2020.03.04.,36.6910697,126.83770439999999
237,충남,천안시 동남구,단국대학교병원,충청남도 천안시 동남구 망향로 201,외래진료 및 입원,041-1588-0063,2020.02.29.,36.8418782,127.1749976
238,충남,천안시 동남구,순천향대학교 부속 천안병원,충청남도 천안시 동남구 순천향6길 31,외래진료 및 입원,041-570-2114,2020.02.27.,36.802779799999996,127.13533469999999
239,충남,천안시 동남구,천안우리병원,충청남도 천안시 동남구 남부대로 350,외래진료,041-590-9000,2020.03.02.,36.7809592,127.1557958
240,충남,천안시 서북구,천안충무병원,충청남도 천안시 서북구 서북구 다가말3길8,외래진료 및 입원,041-570-7555,2020.02.25.,36.797347099999996,127.1315479
241,충남,천안시 서북구,본정형외과병원,충청남도 천안시 서북구 불당대로 268,외래진료,041-575-6000,2020.03.03.,36.799763999999996,127.1256409
242,충남,천안시 서북구,서울대정병원,충청남도 천안시 서북구 불당33길 18,외래진료,041-415-0001,2020.03.07.,36.8083197,127.106278
243,전북,고창군,고창종합병원,전라북도 고창군 고창읍 화신1길9,외래진료,063-560-5600,2020.03.09.,35.4364207,126.69366300000002
244,전북,군산시,군산의료원,전라북도 군산시 의료원로 27,외래진료,063-472-5000,2020.03.04.,35.9548898,126.71191669999999
245,전북,군산시,동군산병원,전라북도 군산시 조촌로 149,외래진료 및 입원,063-440-0300,2020.03.02.,35.9773651,126.7370947
246,전북,남원시,남원의료원,전라북도 남원시 충정로 365,외래진료,063-620-1114,2020.03.02.,35.4326296,127.4083857
247,전북,익산시,익산병원,전라북도 익산시 무왕로 969,외래진료 및 입원,063-840-9114,2020.03.02.,35.9592947,126.96716079999999
248,전북,전주시 덕진구,전북대학교병원,전라북도 전주시 덕진구 건지로 20,외래진료 및 입원,063-250-1114,2020.03.02.,35.8471872,127.14058940000001
249,전북,전주시 덕진구,대자인병원,전라북도  전주시 덕진구 견훤로390,외래진료,063-240-2000,2020.02.25.,35.84597730000001,127.1533607
250,전북,전주시 덕진구,호성전주병원,전라북도 전주시 덕진구 동부대로 895,외래진료,063-240-8800,2020.03.10.,35.848752,127.1464411
251,전북,전주시 완산구,예수병원,전라북도  전주시 완산구 서원로365,외래진료 및 입원,063-230-8114,2020.02.25.,35.814135199999996,127.13289879999999
252,전북,전주시 완산구,전주병원,전라북도 전주시 완산구 한두평3길13,외래진료,063-220-7200,2020.02.26.,35.81532,127.12475260000001
253,전남,고흥군,고흥종합병원,전라남도 고흥군 고흥읍 고흥로 1935,외래진료 및 입원,061-835-6000,2020.03.04.,34.621004299999996,127.29393970000001
254,전남,목포시,목포시의료원,전라남도 목포시 이로로 18,외래진료,061-260-6500,2020.03.05.,34.804123499999996,126.40535209999999
255,전남,목포시,목포한국병원,전라남도 목포시 영산로 483,외래진료 및 입원,061-270-5500,2020.02.29.,34.8091621,126.41639439999999
256,전남,목포시,목포기독병원,전라남도 목포시 백년대로303,외래진료 및 입원,061-280-7500,2020.02.26.,34.804445,126.4206723
257,전남,목포시,목포중앙병원,전라남도 목포시 영산로 623번지,외래진료 및 입원,061-280-3000,2020.02.28.,34.821230199999995,126.4210798
258,전남,순천시,성가롤로병원,전라남도 순천시 순광로 221,외래진료 및 입원,061-720-6434,2020.02.27.,34.9642662,127.5428763
259,전남,순천시,순천한국병원,전라남도 순천시 우명길42,외래진료 및 입원,061-740-5000,2020.02.26.,34.9476145,127.51250979999999
260,전남,여수시,여천전남병원,전라남도 여수시 무선로 95,외래진료,061-690-6000,2020.03.02.,34.7690003,127.6542545
261,전남,여수시,여수전남병원,전라남도 여수시 좌수영로49,외래진료,061-640-7575,2020.03.10.,34.772441199999996,127.70306099999999
262,전남,여수시,여수제일병원,전라남도 여수시 쌍봉로 70,외래진료,061-689-8114,2020.03.04.,34.7660227,127.6636158
263,전남,여수시,여수한국병원,전라남도 여수시 여천체육공원길10,외래진료,061-653-2000,2020.03.03.,34.7612543,127.67505249999999
264,전남,장흥군,장흥종합병원,전라남도 장흥군 장흥읍 흥성로74,외래진료,061-862-8300,2020.02.25.,34.6770898,126.9111921
265,경북,경산시,경산중앙병원,경상북도 경산시 경안로 11,외래진료,053-715-0100,2020.02.28.,35.809092799999995,128.74016459999999
266,경북,경산시,세명병원,경상북도 경산시 경안로 208,외래진료,053-819-8364,2020.03.03.,35.8260728,128.7372057
267,경북,경주시,동국대학교 경주병원,경상북도 경주시 동대로87,외래진료,054-748-9300,2020.02.27.,35.8583073,129.1954409
268,경북,구미시,차의과학대학교부속구미차병원,경상북도 구미시 신시로10길 12,외래진료,054-450-9700,2020.03.05.,36.1147524,128.3407379
269,경북,구미시,순천향대학교부속구미병원,경상북도 구미시 1공단로 179,외래진료 및 입원,054-468-9114,2020.03.05.,36.1030929,128.3826739
270,경북,구미시,바른유병원,경상북도 구미시 역전로 28,외래진료,054-457-8676,2020.03.11.,36.1310797,128.3325658
271,경북,김천시,김천제일병원,경상북도 김천시 신음1길 12,외래진료,054-420-9300,2020.03.02.,36.1353472,128.1187424
272,경북,문경시,문경제일병원,경상북도 문경시 당교3길 25,외래진료,054-550-7700,2020.02.28.,36.5843256,128.18918349999998
273,경북,상주시,상주성모병원,경상북도 상주시 냉림서성길7,외래진료,054-532-5001,2020.03.04.,36.420795999999996,128.15997529999999
274,경북,안동시,안동성소병원,경상북도 안동시 서동문로99,외래진료,054-850-8114,2020.02.26.,36.5673945,128.7228393
275,경북,안동시,안동병원,경상북도 안동시 앙실로11,외래진료,054-840-1004,2020.02.28.,36.5471395,128.7008616
276,경북,포항시 남구,포항성모병원,경상북도 포항시 남구 대잠동길 17,외래진료,054-272-0151,2020.03.03.,36.014831199999996,129.33929089999998
277,경북,포항시 남구,포항세명기독병원,경상북도 포항시 남구 남구 포스코대로351,외래진료 및 입원,054-275-0005,2020.02.26.,36.0177961,129.3620249
278,경북,포항시 북구,좋은선린병원,경상북도 포항시 북구 대신로 43,외래진료,054-245-5000,2020.03.02.,36.048065199999996,129.367134
279,경북,포항시 북구,포항우리병원,경상북도 포항시 북구 포스코대로 256,외래진료,054-240-6000,2020.03.09.,36.0215301,129.35237089999998
280,경남,거제시,거붕백병원,경상남도 거제시 계룡로 5길 14,외래진료,055-733-0000,2020.03.05.,34.8726323,128.6268045
281,경남,거제시,대우병원,경상남도 거제시 도모길16,외래진료 및 입원,055-680-8114,2020.03.11.,34.8722413,128.7217033
282,경남,거제시,맑은샘병원,경상남도 거제시 연초면 거제대로 4477,외래진료,055-736-1004,2020.03.03.,34.8977915,128.64378159999998
283,경남,거창군,거창적십자병원,경상남도 거창군 거창읍 중앙로 91,외래진료,055-944-3251,2020.03.05.,35.6865089,127.9091208
284,경남,김해시,조은금강병원,경상남도 김해시 김해대로 1814-37,외래진료,055-330-0300,2020.02.27.,35.2623034,128.8615992
285,경남,김해시,경희의료원 교육협력 중앙병원,경상남도 김해시 분성로94-8,외래진료,055-330-6000,2020.02.26.,35.23073170000001,128.85708839999998
286,경남,김해시,갑을장유병원,경상남도 김해시 장유로 167-13,외래진료,055-310-6000,2020.02.28.,35.2086594,128.80560499999999
287,경남,김해시,김해복음병원,경상남도 김해시 활천로 33,외래진료,055-330-8888,2020.02.27.,35.2304878,128.8935607
288,경남,김해시,진영병원,경상남도 김해시 진영읍김해대로 334번길 9,외래진료,055-340-3700,2020.02.26.,35.306056999999996,128.72674899999998
289,경남,밀양시,밀양윤병원,경상남도 밀양시 삼문중앙로32,외래진료,055-354-2200,2020.02.28.,35.484694999999995,128.7556697
290,경남,사천시,삼천포서울병원,경상남도 사천시 남일로 33,외래진료,055-835-9900,2020.02.29.,34.9333862,128.0802625
291,경남,양산시,베데스다병원,경상남도 양산시 신기로 28,외래진료,055-384-9901,2020.03.06.,35.353235,129.04364239999998
292,경남,양산시,양산부산대학교병원,경상남도 양산시 양산시 물금읍 금오로 20,외래진료 및 입원,055-1577-7512,2020.02.27.,35.326130299999996,129.0048926
293,경남,진주시,진주고려병원,경상남도 진주시 동진로2,외래진료,055-751-2500,2020.02.28.,35.1786102,128.0920617
294,경남,진주시,경상대학교병원,경상남도 진주시 강남로 79,외래진료 및 입원,055-750-8000,2020.03.02.,35.1770869,128.0954964
295,경남,진주시,진주제일병원,경상남도 진주시 진주대로 885,외래진료,055-750-7123,2020.02.28.,35.1793942,128.08997209999998
296,경남,진주시,한일병원,경상남도 진주시 범골로 17,외래진료,055-759-7777,2020.02.29.,35.166265599999996,128.1286498
297,경남,진주시,반도병원,경상남도 진주시 남강로 701,외래진료,055-747-6000,2020.03.03.,35.1890244,128.078001
298,경남,진주시,진주세란병원,경상남도 진주시 진주대로 829,외래진료,055-760-7578,2020.02.29.,35.174462,128.0929902
299,경남,진주시,진주복음병원,경상남도 진주시 진양호로 370,외래진료,055-743-2580,2020.03.04.,35.1852364,128.06956549999998
300,경남,진주시,진주바른병원,경상남도 진주시 동진로7,외래진료,055-790-3000,2020.02.25.,35.179228,128.0917275
301,경남,창원시 마산합포구,창원제일종합병원,경상남도 창원시 마산합포구 3.15대로 238,외래진료,055-223-9000,2020.03.06.,35.1990707,128.5677163
302,경남,창원시 마산합포구,에스엠지연세병원,경상남도 창원시 마산합포구 3.15대로 76,외래진료 및 입원,055-243-0100,2020.02.27.,35.1863221,128.5616616
303,경남,창원시 마산회원구,청아병원,경상남도 창원시 마산회원구 내서읍 광려천서로 67,외래진료,055-230-1500,2020.02.26.,35.2479443,128.5096097
304,경남,창원시 마산회원구,365병원,경상남도 창원시 마산회원구 3.15대로 686,외래진료,055-248-0365,2020.02.29.,35.2337554,128.57949150000002
305,경남,창원시 마산회원구,마산서울병원,경상남도 창원시 마산회원구 3.15대로 653,외래진료,055-299-7000,2020.02.27.,35.2206349,128.5795296
306,경남,창원시 성산구,CNA서울아동병원,경상남도 창원시 성산구 마디미서로 54,외래진료,055-262-8511,2020.03.04.,35.2208447,128.6809275
307,경남,창원시 진해구,연세에스병원,경상남도 창원시 진해구 해원로32번길 13,외래진료,055-548-7700,2020.02.25.,35.1545448,128.6983452
308,경남,함양군,함양성심병원,경상남도 함양군 함양읍 고운로 70,외래진료,055-963-4322,2020.03.09.,35.52028800000001,127.72936460000001
309,제주,제주시,제주한라병원,제주특별자치도 제주시 도령로 65,외래진료 및 입원,064-740-5000,2020.02.27.,33.489819499999996,126.4851928
310,제주,제주시,제주대학교병원,제주특별자치도 제주시 아란13길 15,외래진료 및 입원,064-717-1114,2020.03.02.,33.467042899999996,126.54575580000001
311,제주,제주시,한마음병원,제주특별자치도 제주시 연신로 52,외래진료,064-750-9000,2020.03.02.,33.4963523,126.54623760000001
312,제주,제주시,중앙병원,제주특별자치도 제주시 월랑로 91,외래진료,064-786-7000,2020.02.28.,33.4922645,126.4707256